
[Sample Header]
Method=董波-CuZnNiCoCaMgAsFe(v9)
SampleName=Blank
Username=admin
Comment=
Custom ID1=
Custom ID2=
Custom ID3=
Run Time=2017/5/8 9:40:53
Sample Type=Cal
Mode=IR
CorrFactor=1.000
Repeats=3

[Results]
Elem,Units,Avg,Stddev,RSD,Rep1,Rep2,Rep3
As1890,Cts/S, .4830,1.059,219.2, .7564, 1.378, -.6855
As1937,Cts/S, 4.133,.9659,23.37, 3.460, 3.700, 5.240
Ca1840,Cts/S, 29.05,.1604,.5521, 29.22, 28.90, 29.04
Ca3158,Cts/S, 109.5,3.295,3.010, 105.8, 110.5, 112.1
Co2286,Cts/S, 8.973,1.560,17.39, 7.620, 8.620, 10.68
Co2388,Cts/S, 9.950,4.333,43.54, 4.950, 12.60, 12.30
Cu2135,Cts/S, 6.988,.1980,2.834, 6.760, 7.118, 7.085
Cu2135,Cts/S, 22.57,.5871,2.601, 23.19, 22.50, 22.03
Cu2230,Cts/S, 15.73,4.480,28.49, 19.64, 10.84, 16.70
Cu3247,Cts/S, 31.37,8.059,25.69, 40.60, 27.75, 25.75
Fe2599,Cts/S, 50.61,2.213,4.372, 48.33, 52.75, 50.76
Fe2599,Cts/S, 109.9,6.856,6.241, 117.3, 103.9, 108.3
Mg2802,Cts/S, 691.0,8.231,1.191, 691.9, 682.4, 698.8
Mg2852,Cts/S, 46.98,7.368,15.68, 53.82, 47.95, 39.18
Ni2216,Cts/S, 11.01,2.572,23.37, 8.224, 13.30, 11.49
Ni2316,Cts/S, 6.567,1.819,27.70, 8.450, 6.430, 4.820
Ni2320,Cts/S, 2.487,1.443,58.01, 3.760, 2.780, .9200
Zn2062,Cts/S, 30.64,1.454,4.743, 29.31, 32.20, 30.42
Zn2062,Cts/S, 75.48,.6307,.8356, 74.90, 75.38, 76.15

[Internal Standards]
Elem,Units,Avg,Stddev,RSD,Rep1,Rep2,Rep3

[Sample Header]
Method=董波-CuZnNiCoCaMgAsFe(v9)
SampleName=CalibStd-1
Username=admin
Comment=
Custom ID1=
Custom ID2=
Custom ID3=
Run Time=2017/5/8 9:42:53
Sample Type=Cal
Mode=IR
CorrFactor=1.000
Repeats=3

[Results]
Elem,Units,Avg,Stddev,RSD,Rep1,Rep2,Rep3
As1890,Cts/S, 1805.,6.565,.3636, 1798., 1811., 1807.
As1937,Cts/S, 1662.,6.382,.3839, 1657., 1669., 1661.
Ca1840,Cts/S, 2817.,14.31,.5081, 2805., 2833., 2814.
Ca3158,Cts/S, 10900.,11.30,.1037, 10890., 10890., 10910.
Co2286,Cts/S, 16340.,64.46,.3946, 16310., 16410., 16290.
Co2388,Cts/S, 10320.,56.40,.5464, 10340., 10260., 10370.
Cu2135,Cts/S, 4468.,26.51,.5934, 4467., 4494., 4441.
Cu2135,Cts/S, 11810.,37.17,.3147, 11780., 11850., 11800.
